id,prec_2007,prec_2008,prec_2009,prec_2010,prec_2011,prec_2012,prec_2013,prec_2014,prec_2015,prec_2016,prec_2017,prec_2018
5543,228.9328085581462,285.04263782501226,189.41778182983396,235.32897313435862,284.7059434254965,187.92964998881016,188.50502204895028,171.01888084411635,139.7724644343059,160.55103333791095,191.51641082763652,202.15701421101892
5576,207.58987108866367,283.4721444447836,178.1987260182699,225.41613602638256,258.3301232655843,174.27752113342282,180.91385777791353,172.47608248392737,132.27503426869717,154.37595589955657,174.6971384684243,194.35975519816088
5579,244.48792997996023,308.26045099894213,231.68048222859707,304.3024926185608,345.7634207407632,238.79092248280836,223.25826772054026,203.28294054667148,170.19925117492696,188.41312313079857,208.38185373942068,237.07284037272134
5585,235.4719467163086,301.60380776723235,221.06662114461258,286.51036508878065,326.6568349202474,221.04259300231953,213.9337476094563,198.45759073893228,162.36238733927402,180.9070256551106,197.36764780680338,229.39506467183438
5591,217.22679233551045,280.8810186386108,201.69180742899573,262.38537486394256,298.06115214029944,196.6080532073975,197.9731124242147,184.8781038920085,149.72881603240964,167.81574122111007,181.95200856526682,212.570332845052
5604,268.02273813883454,331.68184502919524,252.63576952616373,325.33963425954187,360.938273747762,255.79418341318743,239.05066967010512,216.16919644673678,185.56354904174802,200.4297968546551,227.33676783243808,260.65753777821857
5607,200.42962328592947,272.09737459818524,177.98985036214194,225.20599953333524,256.45537312825513,171.87173779805502,180.17534192403158,168.310375849406,130.55062230428072,151.86003621419272,170.63185310363775,190.18740685780844
5615,214.9776363372802,287.5947380065919,194.05230458577475,242.72973807652792,277.6035938262939,184.76970863342282,195.14088535308838,179.92624219258622,142.5841013590494,163.64939594268793,182.8167260487875,204.8447891871135
5628,257.37989187240606,320.3165270487465,211.434419631958,266.36103010177607,309.9621969858806,207.3252261479696,208.75864092508962,190.79561932881668,156.08294804890957,181.84581041336068,212.14901510874427,225.918342590332
5631,224.07743740081796,302.60324223836216,198.52993647257483,248.57607444127405,286.8785216013592,192.57961654663077,198.63654518127453,188.35455576578784,146.84273846944168,167.38398329416916,188.49441019694007,212.76952743530273
5642,223.37464523315418,312.59814389546756,189.4088363647461,240.76807069778442,272.09867604573566,183.92044258117673,194.39025942484542,182.10145886739096,139.2998393376668,165.24267609914156,188.41743596394852,207.3255182902017
5647,201.2802804311116,266.5101222991943,177.4268321990968,221.00320164362583,272.17933591206867,181.49476973215738,176.44058163960776,164.15579859415695,129.34814039866134,143.81337801615408,168.9120508829753,190.78608322143555
5649,246.41848818461105,317.2834669748941,233.20605405171702,289.6779739061991,333.34497324625653,226.79214986165368,226.80171044667557,208.45623524983736,172.97084935506186,189.0592816670735,210.63737424214676,239.5546442667643
5652,230.56633631388354,301.29618899027497,215.46673138936356,268.73886235555005,309.4453862508138,204.88464864095064,212.14849408467603,199.9134667714437,158.40465895334873,178.3213968276979,196.57789166768393,222.58288892110207
5656,224.6685943603516,299.31178029378236,196.1317869822186,245.5334644317627,280.9040241241455,189.16340827941886,196.20908864339196,182.91922378540028,144.7876714070637,165.44990571339932,190.57807032267257,209.9598178863524
5658,223.1752583185831,295.4313484827677,196.2008705139161,242.07538493474317,282.62705930074054,190.89128939310703,195.50944646199545,178.91457303365067,143.57942835489905,163.34476693471274,189.04452323913554,206.32420094807946
5659,206.66822052001964,165.38801956176766,115.50403038660686,200.2718551158906,219.73980561892202,137.94411913553867,128.02926349639907,113.79547659556066,96.75434319178258,123.13204844792688,137.9079632759093,140.21987771987904
5660,254.0743662516276,333.03312301635737,240.22270838419593,294.88504727681476,344.22659428914386,232.21110280354813,233.85426966349294,219.86806933085128,177.29365984598783,196.6158091227214,217.51250267028794,246.54739824930832
5664,206.51541264851895,278.0588448842367,186.49658838907882,231.77081608772275,270.54209009806317,180.30245208740226,188.09321149190262,172.85757319132483,136.85333538055414,155.3328663508098,178.20236905415854,197.20317522684738
5665,214.1984623273214,181.4679551124573,131.16384855906165,206.68571647008267,227.26885875066125,149.57695436477667,139.90320873260498,125.9890454610189,106.82047255833943,133.7209998766581,150.97516377766928,153.31011931101474
5667,242.26986185709632,315.76241683959984,226.69197845458996,284.8174074490865,326.2463645935059,220.3846333821615,221.43376064300548,201.41644032796225,167.20806662241617,184.7088098526001,204.81195386250806,233.7063541412352
5670,246.75529797871903,315.4731820424399,234.0770835876464,291.11043580373115,334.94317690531415,228.8393510182698,225.74273331960032,205.0239283243814,172.36459032694503,188.40837033589682,211.83939997355142,240.25828965504977
5674,216.8966547648112,289.03285217285156,198.61742401123033,247.10806194941202,283.5001716613769,191.1611919403077,195.79678885142005,181.28741455078125,146.04767195383712,165.13095315297448,183.09922218322765,209.33687814076745
5679,220.16029103596998,292.4071394602459,193.46619478861484,246.36290884017953,281.2753639221192,188.61378924051914,194.7430203755696,185.786424001058,142.82953453063968,165.20933437347404,186.53166961669922,207.05686314900723
5686,219.62729835510245,286.89887015024806,199.45690409342447,248.32098388671875,293.55238533020037,199.02351315816236,196.40029271443697,180.9377136230469,146.4194784164429,165.69226137797037,190.18545850118008,211.9852730433145
5690,224.8473529815674,294.8015429178875,211.0167649586995,259.6275661786397,300.26975758870435,204.98212432861325,203.90812015533444,186.7673886617024,154.9822235107423,171.1937532424927,192.61244773864735,219.53577391306564
5697,212.92955652872726,284.1162815093996,194.60411453247067,242.34712862968456,279.19443511962896,186.22246106465673,193.6431589126586,179.5064055124918,142.32984097798663,163.3174896240234,180.47852643330884,204.6156476338706
5736,285.3756456375122,342.93170102437335,260.887908299764,351.2547941207885,389.1092720031738,274.15206527709967,255.45037523905447,228.21408081054688,192.02571551005053,209.12097994486498,244.0728766123453,266.0213146209717
5756,223.06826877594003,292.13936297098786,206.12357012430826,263.27511088053376,297.4463227589928,195.36408996582028,203.70373121897384,191.15037345886245,151.11781628926596,173.2221546173096,188.30635897318518,215.0143337249756
5761,226.6902756690978,292.9822537104289,191.86420694986978,244.40954462687168,279.09520403544116,185.46020444234205,190.229403177897,177.9991305669149,141.61045932769778,164.12984991073617,187.8046334584553,206.49875354766837
5789,227.94913832346595,305.7248611450195,197.7241166432699,248.6088782151539,286.00758870442706,193.66833496093753,199.50718688964852,191.09719848632815,145.85049661000582,169.43543465932217,191.58915964762366,211.44681803385424
5790,322.78114827473945,361.34827550252277,261.98072942097986,340.65389760335296,401.50170771280926,271.49199581146246,254.77231693267825,225.93588288625082,193.29305712382006,221.54083108901978,261.14937750498456,277.5449132919311
5792,209.13310082753515,278.43805313110346,179.89280764261875,226.28493801752734,259.6165739695231,174.95709673563636,180.85934702555343,172.2606817881267,132.97755209604895,155.58172162373862,177.01448249816895,193.9922342300415
5809,211.19933986663833,282.9081242879232,181.94092623392748,229.19074074427297,261.81932576497405,176.06838289896646,182.97331809997567,173.5328267415364,134.82441711425784,156.1182854970297,178.5681076049805,196.57028706868482
5819,246.79698085784898,305.3103914260866,204.7018038431802,252.90767653783178,300.19489606221515,201.5525404612223,199.34860928853337,179.60807991027843,151.646266301473,173.0645314852397,203.11009343465176,217.73581854502365
5837,233.86395263671886,218.9216581980389,160.2396777470908,222.5727364222208,253.57348028818762,178.15336990356454,161.09031009674072,151.9728107452392,134.50978151957182,156.57632446289077,175.9717934926351,181.9701344172161
5842,224.6499253908794,282.87426408131904,184.84388256072998,225.71819035212204,268.4206072489421,178.54480044047037,185.32284736633298,170.33530839284273,137.03189706802365,159.21732950210568,191.6232544581095,201.23869991302487
5847,255.86939112345382,346.3999449412029,217.31139310201,270.62769699096685,315.7165063222249,216.68957837422695,225.36986096700028,212.72543017069492,160.177745183309,189.36610666910804,223.99534098307296,234.62024052937838
5854,282.5115553538005,331.0098994572958,236.37414423624674,303.7964855829875,357.49652290344244,241.71818447113046,229.7617816925049,203.44175211588546,172.0191745758058,196.79108715057382,234.2462062835693,247.72932306925463
5856,196.16776402791345,259.0517781575521,171.14392089843759,213.9682355721791,246.77300389607748,165.92384529113752,170.18643887837743,163.27470397949216,125.75103060404452,147.1772263844808,164.9869499206542,182.5140110651652
5858,261.74985059102374,327.0943088531493,247.43612225850427,312.78966029485065,355.0314280192058,248.65076414744053,235.5711536407472,212.92767651875818,179.71986611684176,196.40132013956705,222.80363972981772,253.17332585652682
