municipal,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,cases_2007,cases_2008,cases_2009,cases_2010,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019,age_0_to_4,age_5_to_14,age_15_to_29,age_30_and_up,illiterate,secondary_education,employed,unemployed,men,women,households_without_water_access,households_without_internet_access,houses_per_km2
guican de la sierra,4935,4809,4739,4695,4656,4634,4589,4552,4503,4419,4325,4279,4285,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72,19.74,23.64,47.9,20.07,37.26,27.19,2.42,50.24,49.76,24.72,62.36,1.343511
iza,1869,1822,1817,1814,1854,1930,1963,1960,1959,1954,1943,1947,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,17.44,23.3,53.45,5.35,52.83,33.64,5.2,49.69,50.31,6.03,59.27,11.666667
jenesano,7503,7486,7446,7401,7331,7251,7197,7160,7156,7157,7149,7200,7274,0,0,0,0,0,0,0,0,1,0,0,0,0,6.51,16.41,20.53,56.56,9.74,35.99,28.34,2.54,49.23,50.77,9.61,47.18,35.457627
jerico,4813,4840,4861,4890,4898,4893,4834,4761,4589,4324,4055,3929,3900,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,17.97,22.91,52.63,12.71,31.02,12.77,12.15,51.84,48.16,25.17,55.19,6.486034
labranzagrande,5411,5391,5366,5329,5275,5198,5102,4905,4534,4046,3691,3526,3501,0,0,0,1,0,26,7,1,26,6,0,0,57,5.89,13.2,21.76,59.15,14.73,26.41,27.51,10.73,53.59,46.41,28.98,64.46,1.6704
la capilla,3164,3156,3137,3115,3081,2996,2955,2899,2859,2794,2727,2689,2686,0,0,0,1,0,1,1,0,0,1,0,1,0,5.04,12.61,17.65,64.7,8.65,34.26,30.13,3.43,50.57,49.43,14.83,63.41,15.245614000000002
la victoria,1695,1689,1681,1666,1551,1347,1281,1252,1220,1169,1125,1118,1118,4,10,13,77,10,0,0,0,0,0,0,0,0,4.18,15.06,21.97,58.79,12.34,33.89,38.49,8.05,52.72,47.28,23.59,70.57,3.463636
la uvita,3515,3502,3503,3463,3463,3438,3420,3387,3349,3264,3125,2999,2831,0,0,0,1,0,0,0,1,0,1,0,0,0,5.78,13.37,21.0,59.85,6.82,44.85,18.98,6.37,50.7,49.3,11.0,51.16,5.625
villa de leyva,10160,10250,10362,10528,10704,10956,11291,11845,12818,14197,15394,16139,16617,0,0,0,0,0,1,2,1,0,1,1,0,0,6.58,14.61,24.96,53.85,3.72,59.57,47.12,3.86,48.81,51.19,2.93,45.32,36.9375
macanal,4775,4763,4738,4717,4677,4651,4665,4683,4762,4853,4921,4976,5027,0,0,0,1,0,1,0,0,1,0,0,0,0,5.27,14.32,19.2,61.21,8.24,38.87,36.77,2.44,50.59,49.41,14.27,58.04,6.552764
maripi,7889,7839,7791,7738,7609,7417,7243,7030,6707,6268,5899,5741,5697,0,0,0,0,0,0,0,0,0,81,20,2,12,5.75,16.16,21.24,56.85,13.65,33.4,28.15,2.09,55.19,44.81,53.32,64.06,10.9625
miraflores,9788,9765,9745,9708,9679,9622,9509,9366,9203,9030,8897,8847,8937,27,0,0,55,0,4,9,1,41,92,0,0,13,5.41,14.12,20.99,59.48,7.37,48.08,40.21,3.88,49.95,50.05,10.59,62.58,11.988372
mongua,5288,5281,5267,5241,5234,5183,5121,5026,4871,4755,4667,4636,4620,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,18.6,23.12,51.72,8.14,39.56,21.26,5.3,48.21,51.79,9.46,55.27,3.706849
mongui,5014,4988,4971,4958,4947,4927,4911,4874,4782,4605,4385,4234,4266,0,0,0,1,0,0,0,0,0,0,0,0,0,6.57,16.28,23.7,53.45,7.8,49.6,31.53,5.34,47.16,52.84,3.19,39.71,18.492754
moniquira,22289,22306,22307,22279,22263,22244,22232,22283,22392,22493,22504,22572,22821,134,26,51,249,19,31,103,23,31,311,5,0,119,5.94,15.46,21.37,57.22,7.88,50.34,39.41,3.53,49.46,50.54,12.8,48.77,32.668182
