municipal,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,cases_2007,cases_2008,cases_2009,cases_2010,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019,age_0_to_4,age_5_to_14,age_15_to_29,age_30_and_up,illiterate,secondary_education,employed,unemployed,men,women,households_without_water_access,households_without_internet_access,houses_per_km2
encino,2821,2833,2847,2847,2858,2860,2848,2823,2755,2653,2567,2552,2567,0,1,1,4,2,0,2,1,0,0,0,0,1,7.71,17.18,24.89,50.21,6.34,32.09,49.23,1.37,51.97,48.03,10.75,57.67,1.7506
enciso,4069,4105,4129,4151,4154,4191,4178,4138,4017,3799,3569,3461,3444,2,26,4,9,2,1,1,2,77,29,1,0,6,6.1,15.23,21.71,56.95,7.57,41.72,34.35,3.68,51.62,48.38,13.64,66.51,14.194444
florian,6574,6606,6640,6644,6598,6459,6394,6307,6156,5912,5656,5562,5569,0,0,0,0,0,0,3,2,0,1,1,0,1,6.19,16.82,21.68,55.31,11.88,37.08,25.96,1.72,51.81,48.19,21.78,56.79,9.117647
floridablanca,269056,271138,273162,275167,277548,280304,282266,283647,284834,286111,287805,291935,300730,2176,897,2236,4626,359,599,2755,3061,1276,1371,395,348,1300,6.29,13.73,25.23,54.76,2.26,66.39,43.28,5.39,47.15,52.85,3.27,22.01,834.948454
galan,3009,3038,3056,3060,3054,3039,3043,3027,3015,2958,2907,2886,2883,0,0,2,35,1,2,38,6,3,10,1,1,6,6.64,15.85,20.73,56.79,8.72,35.87,34.34,2.83,51.64,48.36,14.6,54.91,4.263415
gambita,4004,4042,4061,4087,4110,4127,4140,4151,4141,4111,4041,4021,4008,1,1,2,44,3,6,11,5,5,5,3,0,1,7.54,18.82,20.6,53.05,9.04,33.41,34.85,3.77,52.73,47.27,32.04,50.02,2.023102
giron,144741,146003,147192,148360,149739,151255,152437,153343,154246,155400,157011,160403,166843,808,483,1003,1926,236,356,1804,1305,727,462,160,178,654,7.32,15.18,26.5,50.99,3.39,59.66,41.29,6.01,49.12,50.88,11.87,38.69,91.330526
guaca,7126,7162,7186,7193,7043,6737,6603,6512,6432,6244,6031,5916,5900,0,0,1,2,1,0,0,4,4,6,2,2,1,6.82,16.89,22.68,53.61,5.55,35.44,14.82,1.27,52.93,47.07,23.94,64.19,4.36911
guadalupe,5646,5679,5707,5743,5746,5767,5743,5647,5429,5028,4665,4511,4473,0,0,0,0,0,2,76,77,6,9,1,0,4,5.0,15.93,19.23,59.85,8.69,42.55,37.76,3.63,50.54,49.46,25.56,62.5,3.4424080000000004
guapota,2355,2370,2389,2411,2423,2427,2433,2433,2405,2382,2362,2375,2394,2,2,1,23,4,1,8,3,1,1,1,0,31,6.14,15.69,21.44,56.73,6.43,36.6,34.26,1.75,52.14,47.86,11.03,67.24,10.5
guavata,4503,4541,4578,4604,4629,4645,4643,4635,4578,4464,4302,4230,4200,0,2,1,14,0,0,1,1,0,0,0,0,1,4.13,12.74,18.58,64.54,12.82,37.8,39.38,5.76,50.68,49.32,42.8,74.02,25.267857
guepsa,4483,4561,4650,4758,4872,4919,4924,4944,4952,4998,5034,5114,5222,1,13,10,38,0,6,2,3,2,1,1,0,18,6.24,15.21,23.88,54.67,10.47,44.18,38.8,3.86,50.47,49.53,15.74,75.59,47.363636
hato,2441,2464,2474,2478,2441,2351,2317,2317,2314,2306,2301,2328,2349,11,0,16,14,0,0,10,2,4,2,0,1,1,6.6,16.51,21.89,55.0,10.61,32.78,28.77,3.07,53.68,46.32,19.34,74.26,3.711111
jesus maria,3557,3564,3592,3603,3551,3449,3421,3404,3396,3388,3337,3342,3337,0,0,0,0,0,0,0,2,0,3,3,1,7,4.38,15.38,20.13,60.11,9.96,37.98,32.6,2.51,51.49,48.51,9.23,58.52,14.805556
jordan,1220,1242,1261,1272,1303,1324,1334,1325,1313,1322,1322,1314,1325,0,0,0,0,0,1,6,1,1,0,0,1,3,6.88,17.37,24.59,51.16,13.84,30.7,42.48,0.86,51.25,48.75,43.22,67.84,9.757576
la belleza,7157,7181,7232,7250,7205,7103,7024,6987,6868,6642,6340,6198,6174,1,1,0,1,1,0,3,1,2,6,1,0,26,5.56,18.06,22.56,53.82,6.9,39.96,38.87,1.11,51.57,48.43,21.46,57.8,7.972602999999999
landazuri,13776,13850,13906,13934,13869,13656,13409,12921,11979,11013,10487,10384,10482,6,34,6,34,6,39,12,36,112,11,2,0,109,6.59,17.95,22.15,53.31,11.05,38.64,37.51,1.43,51.69,48.31,35.94,65.89,4.8825400000000005
la paz,5663,5706,5721,5736,5724,5655,5608,5562,5450,5248,5041,4953,4921,2,3,1,5,0,0,5,1,1,0,0,0,2,4.91,13.69,19.08,62.32,12.58,27.15,46.75,0.5,52.62,47.38,22.53,72.64,5.207407
lebrija,32832,33226,33655,34181,34831,35648,36549,37524,38601,39702,40684,41835,43145,132,155,132,117,23,56,193,405,440,213,64,37,296,7.32,16.35,26.68,49.65,5.26,49.5,42.27,3.28,51.45,48.55,32.76,69.4,18.785064
los santos,11109,11165,11210,11253,11319,11384,11484,11672,12068,12743,13439,14106,14485,46,15,71,28,13,18,181,66,45,25,14,6,17,6.99,17.34,24.76,50.9,8.28,39.77,31.29,1.75,52.05,47.95,46.14,57.33,14.950413
macaravita,2757,2764,2766,2776,2780,2763,2720,2677,2614,2473,2280,2171,2125,0,0,0,1,0,0,1,0,1,0,0,2,0,6.2,16.24,22.86,54.69,10.61,38.97,32.54,0.99,52.49,47.51,40.37,61.48,6.109091
malaga,19287,19433,19576,19735,19911,20105,20244,20355,20444,20519,20659,20945,21339,11,8,7,47,5,4,16,22,4,9,4,1,5,6.76,15.48,24.41,53.34,4.48,56.97,33.88,7.16,47.81,52.19,8.94,60.66,104.448276
matanza,6030,6071,6100,6079,5779,5239,4981,4936,4933,4927,4930,4976,4999,11,0,4,42,3,4,15,12,7,19,15,1,13,5.82,15.74,20.94,57.5,7.8,41.1,37.72,5.11,52.79,47.21,26.26,59.97,6.0041150000000005
mogotes,11139,11205,11272,11322,11361,11400,11430,11359,11166,10871,10577,10527,10576,4,2,2,6,5,1,4,11,1,10,1,1,3,7.53,18.41,23.25,50.82,9.3,36.6,32.94,2.86,50.61,49.39,24.07,63.13,6.094456
molagavita,5581,5602,5637,5639,5626,5538,5459,5317,5040,4614,4256,4137,4105,1,2,1,3,0,0,0,0,0,0,1,0,0,5.21,15.02,22.4,57.37,7.61,35.25,32.69,1.86,53.0,47.0,52.93,66.05,6.121827
ocamonte,5086,5111,5143,5163,5178,5200,5240,5277,5357,5451,5563,5661,5740,6,2,2,74,5,10,7,8,7,3,4,1,4,6.33,17.37,21.84,54.46,8.64,33.3,31.14,2.82,53.32,46.68,19.16,71.5,16.940476
oiba,10878,10894,10919,10951,10889,10738,10661,10645,10664,10664,10684,10800,11004,7,3,1,96,10,19,161,60,103,98,9,17,32,6.4,16.18,22.09,55.33,6.94,44.43,36.91,3.82,50.43,49.57,18.5,61.77,11.560976
onzaga,5802,5837,5859,5873,5860,5800,5749,5628,5367,4913,4433,4183,4111,7,0,1,5,0,1,2,1,6,6,0,0,1,5.49,15.04,19.62,59.85,8.52,32.31,26.85,1.64,52.57,47.43,35.31,49.27,2.798354
palmar,1723,1699,1687,1691,1579,1412,1367,1362,1346,1346,1343,1361,1386,1,0,2,5,0,2,3,2,13,2,1,0,3,6.15,15.8,22.67,55.39,8.46,41.34,35.99,2.0,51.08,48.92,0.0,66.3,19.285714
palmas del socorro,2434,2435,2449,2457,2471,2488,2505,2506,2497,2496,2495,2535,2584,0,1,3,14,2,0,26,3,10,15,2,0,6,6.45,15.48,22.13,55.94,8.31,41.51,35.63,5.11,50.99,49.01,15.11,66.61,13.842104999999998
paramo,3773,3785,3816,3844,3865,3880,3923,4008,4144,4344,4517,4654,4773,22,8,4,13,3,5,36,17,16,14,1,5,17,7.31,17.74,24.37,50.58,4.92,40.23,38.68,3.93,52.32,47.68,20.34,77.73,15.012346
piedecuesta,124140,125120,126082,127030,128187,129638,131292,134152,140252,150819,162014,170625,177586,846,382,1039,1561,122,390,1153,1099,604,361,182,263,949,6.96,15.19,25.75,52.09,3.31,60.6,42.51,5.48,48.57,51.43,8.74,32.5,128.767442
pinchote,3929,3951,3965,3985,3992,4019,4073,4209,4475,4783,5007,5162,5285,16,9,10,30,6,0,20,21,10,18,3,1,7,5.75,14.02,22.69,57.54,4.86,51.18,33.36,7.17,51.2,48.8,8.04,51.42,26.90566
puente nacional,14927,15010,15090,15121,15017,14780,14640,14628,14619,14599,14575,14654,14740,2,3,2,27,1,1,39,6,2,149,21,1,9,5.36,14.47,19.37,60.81,6.76,47.28,37.81,2.47,49.79,50.21,14.82,53.97,17.762097
puerto parra,6845,6879,6918,6934,6807,6509,6451,6543,6753,7099,7403,7640,7846,4,0,3,9,30,37,44,8,3,0,3,3,38,9.52,20.48,24.81,45.2,9.36,41.44,37.75,1.79,51.73,48.27,18.82,63.09,2.7358740000000004
puerto wilches,32609,32834,32998,33093,32843,32216,31952,31941,32006,32118,32276,32791,33572,77,94,32,60,35,105,47,43,46,22,4,12,49,8.43,20.8,24.9,45.86,9.39,46.8,33.01,4.06,51.52,48.48,24.73,68.1,6.098116
rionegro,26635,26590,26664,26715,26628,26421,26297,26272,26257,26230,26210,26438,26746,84,55,40,95,10,33,96,140,85,40,40,65,119,7.18,17.15,23.41,52.25,8.59,41.39,39.71,2.01,52.96,47.04,34.34,72.66,6.080658000000001
sabana de torres,21384,22302,23450,24786,26213,27543,28686,29684,30692,31681,32365,33055,33887,67,28,21,81,17,144,138,71,52,80,54,305,84,9.1,19.72,25.84,45.35,8.25,46.21,34.63,5.79,50.86,49.14,18.64,57.98,5.8228290000000005
san andres,9926,9981,10017,10060,10098,10123,10110,10021,9802,9396,8927,8683,8613,0,0,0,0,0,9,4,4,9,55,3,0,2,5.68,15.73,19.8,58.79,7.68,36.44,29.63,3.06,52.43,47.57,21.77,58.38,9.258992999999998
san benito,3898,3902,3917,3928,3884,3796,3743,3612,3379,3123,2967,2950,2957,10,1,0,3,0,3,1,0,0,0,2,5,3,4.77,14.08,20.55,60.61,10.53,32.37,38.36,1.03,54.07,45.93,50.13,76.11,13.552239000000002
san gil,45765,46135,46531,46929,47468,48406,50090,52266,53715,54452,55013,56037,58032,320,188,115,899,38,53,232,494,365,385,60,84,145,6.65,15.09,24.26,54.0,3.69,60.87,40.64,5.7,47.81,52.19,3.83,46.2,114.261745
san joaquin,2956,2984,3000,3012,3027,3032,3004,2957,2811,2574,2334,2241,2215,3,0,5,6,1,0,6,2,4,0,0,1,1,5.35,18.04,20.3,56.3,9.23,34.93,35.49,1.71,52.01,47.99,27.22,52.85,3.739583
san jose de miranda,4927,4969,4991,4999,4969,4884,4836,4813,4755,4636,4472,4367,4313,6,0,1,8,2,3,12,7,6,11,1,3,6,5.59,15.0,24.2,55.21,8.14,41.25,34.22,4.96,51.82,48.18,32.47,59.13,14.529412
san miguel,2717,2746,2777,2798,2807,2832,2844,2831,2803,2731,2599,2531,2494,1,2,1,0,0,1,3,2,1,0,0,0,7,6.54,14.8,22.81,55.86,10.4,39.99,42.05,1.27,53.35,46.65,11.15,65.34,11.084507
san vicente de chucuri,33154,33832,34203,34338,34032,33233,32862,32803,32808,32812,32813,33133,33414,55,46,37,28,45,154,93,211,139,77,21,56,205,7.01,16.74,24.81,51.43,7.15,43.32,36.91,4.48,52.36,47.64,18.39,67.51,8.086192
santa barbara,2359,2389,2399,2404,2387,2354,2346,2341,2353,2354,2352,2401,2425,0,0,0,0,0,2,4,1,2,1,2,0,1,6.65,15.14,23.85,54.35,7.01,36.4,28.63,4.2,54.58,45.42,51.04,70.85,3.196429
santa helena del opon,4494,4532,4547,4592,4604,4619,4572,4437,4135,3725,3450,3389,3393,9,0,0,76,0,22,26,4,1,62,0,3,16,7.39,19.61,23.47,49.53,9.38,34.14,37.84,3.1,52.78,47.22,23.79,62.52,2.844961
simacota,9936,10079,10172,10203,10169,10058,10013,9990,9964,9967,9962,10042,10138,42,37,6,42,10,24,163,82,10,5,3,7,26,6.45,17.85,22.49,53.2,10.01,37.73,34.44,2.37,53.42,46.58,31.27,64.95,1.705591
socorro,30132,30312,30525,30745,31005,31286,31459,31606,31676,31750,31817,32158,32965,80,36,232,552,45,95,456,175,283,179,26,24,506,6.31,14.02,25.7,53.98,3.67,57.01,40.35,4.12,48.77,51.23,4.7,41.21,73.409836
suaita,10398,10448,10497,10532,10552,10534,10477,10382,10239,10088,9991,10031,10086,0,0,4,62,22,8,52,14,144,79,49,13,105,5.72,15.62,19.85,58.81,8.79,40.34,39.01,2.92,50.91,49.09,24.72,62.34,11.435714
sucre,9345,9384,9443,9477,9472,9485,9434,9264,8842,8157,7502,7202,7103,7,19,18,74,14,0,3,3,1,3,0,1,1,5.76,17.16,20.45,56.63,8.97,34.6,33.16,4.77,51.75,48.25,29.38,68.89,3.227723
surata,3744,3779,3810,3826,3858,3867,3895,3905,3919,3936,3930,3975,3977,5,0,0,4,1,0,2,0,2,1,0,2,7,6.28,16.76,21.76,55.2,6.14,39.09,34.86,3.44,51.88,48.12,39.36,62.95,3.077586
tona,6906,6926,6963,6990,6988,6997,6999,6992,7009,7067,7162,7373,7562,5,1,6,11,0,2,7,7,1,4,0,0,6,6.84,17.2,24.9,51.06,6.17,36.14,35.84,9.43,53.62,46.38,39.83,64.57,6.076023
valle de san jose,5419,5475,5528,5578,5614,5670,5718,5755,5809,5864,5939,6084,6222,5,0,5,30,9,15,44,32,5,15,3,3,34,6.91,15.56,23.87,53.67,8.32,44.39,38.01,2.6,50.66,49.34,30.47,71.32,16.646465
velez,20840,21160,21474,21807,22304,22948,23379,23604,23723,23881,24013,24356,24843,8,5,5,12,3,12,8,4,10,6,1,3,43,5.28,13.34,26.5,54.88,7.48,51.7,35.52,5.69,52.44,47.56,19.49,56.79,24.066421
vetas,1824,1843,1858,1872,1892,1902,1890,1917,1932,1989,2044,2114,2142,1,0,0,6,0,1,1,2,2,0,0,2,1,5.85,14.93,23.89,55.33,5.79,49.94,28.72,4.54,51.08,48.92,27.84,66.62,5.795699
villanueva,7287,7383,7475,7558,7624,7720,7788,7829,7867,7861,7843,7873,7927,13,5,8,77,6,2,32,31,20,19,6,112,56,6.14,15.24,21.7,56.92,6.16,41.33,39.6,2.12,48.71,51.29,4.32,62.38,21.151515
zapatoca,9766,9825,9899,9952,10022,10073,10062,9950,9780,9633,9507,9466,9507,8,10,7,73,6,7,27,25,8,21,11,2,43,6.38,16.99,19.58,57.04,5.51,45.34,39.04,1.92,48.65,51.35,14.08,53.27,7.927778
sincelejo,249383,251136,253055,254931,256587,257911,259334,260813,262578,265643,270421,277773,286635,548,490,582,756,743,1271,2309,3048,1392,442,235,365,3693,7.85,17.06,26.31,48.78,6.56,59.94,34.41,6.54,48.43,51.57,7.98,56.21,262.021127
buenavista,9401,9487,9559,9642,9705,9761,9827,9880,9958,10062,10220,10441,10727,11,2,4,17,1,7,22,30,33,4,3,0,35,8.14,19.3,24.34,48.22,12.0,48.74,27.44,6.09,50.07,49.93,11.16,82.73,18.034722
caimito,12796,13105,13318,13522,13735,14028,14267,14423,14573,14743,14897,15231,15668,7,4,1,22,9,1,16,18,24,1,3,6,46,8.18,20.4,26.67,44.75,15.83,42.32,25.99,3.55,52.25,47.75,8.97,89.63,8.137592
coloso,7436,7663,7822,7932,8006,8068,8124,8196,8264,8334,8434,8623,8670,9,11,29,7,14,10,21,17,8,5,2,1,38,8.16,18.42,23.91,49.51,14.39,44.51,30.55,1.88,52.52,47.48,18.71,85.52,15.049645000000002
corozal,60553,61063,61575,62074,62559,62923,63337,63754,64221,64945,65904,67371,69268,44,42,62,91,93,63,222,183,54,28,13,19,479,7.42,17.02,24.82,50.74,8.37,56.7,33.57,5.08,49.35,50.65,4.4,66.11,87.630542
covenas,10032,9972,10050,10218,10552,11127,12120,13573,15194,16565,17503,18250,18892,1,4,10,1,55,15,17,150,12,17,5,10,128,7.88,15.95,35.25,40.92,7.62,50.71,26.8,6.24,56.27,43.73,23.44,52.29,60.351351
chalan,4137,4188,4231,4271,4293,4334,4361,4382,4403,4420,4424,4466,4537,1,4,13,2,11,4,20,23,38,6,0,0,20,7.25,17.83,25.81,49.11,17.65,43.53,16.11,3.1,53.38,46.62,9.33,84.0,14.631579
el roble,9000,9098,9206,9291,9404,9511,9609,9659,9717,9750,9786,9944,10215,1,3,25,4,3,1,14,24,6,0,0,8,67,8.1,19.02,23.68,49.2,18.58,40.54,18.26,2.37,51.78,48.22,7.5,83.11,12.873786
galeras,18391,18581,18760,18930,19095,19251,19427,19729,20213,20830,21380,21982,22673,6,2,10,6,6,6,23,27,38,2,0,1,26,8.94,19.52,25.74,45.8,12.01,45.74,29.21,4.78,51.15,48.85,16.51,85.98,16.211838
guaranda,16137,16324,16500,16708,16940,17240,17457,17554,17552,17516,17472,17713,18198,20,12,3,12,2,19,13,65,30,20,17,21,30,9.58,22.01,25.0,43.42,13.89,40.17,27.98,2.97,52.09,47.91,43.98,84.91,10.767568
la union,11024,11139,11269,11375,11481,11572,11666,11749,11859,11962,12103,12349,12701,2,1,15,8,13,8,21,24,29,10,0,44,60,7.29,19.32,24.57,48.82,14.6,43.54,25.83,4.84,52.17,47.83,8.89,90.89,13.064103
los palmitos,19513,19714,19929,20186,20564,21120,21499,21739,21917,22169,22410,22880,23420,23,21,21,23,12,28,15,27,45,2,3,8,147,8.03,17.95,24.67,49.36,12.73,47.88,32.11,5.73,51.13,48.87,4.57,79.69,49.712
majagual,32613,32923,33275,33623,33950,34263,34584,34909,35246,35617,35936,36650,37564,5,5,9,35,8,15,9,15,32,6,4,26,28,8.99,20.62,23.66,46.73,12.79,40.4,25.5,6.62,52.19,47.81,15.51,85.17,10.869249
morroa,13592,13736,13885,14023,14154,14223,14242,14169,14107,14339,14679,15061,15495,19,4,29,48,31,46,54,20,16,6,3,2,84,8.32,18.02,25.03,48.64,9.82,51.57,33.75,3.93,50.29,49.71,15.7,70.23,24.167702
ovejas,21834,22024,22187,22343,22426,22463,22473,22483,22482,22519,22597,22871,23148,56,32,80,83,10,48,82,52,5,8,4,11,152,7.25,18.5,24.16,50.09,15.28,42.42,32.99,2.65,51.54,48.46,19.3,77.09,13.393736
palmito,12146,12273,12378,12491,12576,12689,12789,12918,13116,13407,13721,14114,14635,14,5,28,20,11,23,25,52,9,4,1,30,76,8.93,21.28,28.83,40.97,15.14,46.7,18.09,11.34,51.82,48.18,48.01,84.45,16.965909
sampues,39342,39884,40359,40782,41178,41556,42044,42768,43690,44636,45414,46455,47746,149,155,118,130,106,141,193,250,309,110,37,48,328,8.71,19.61,26.84,44.84,13.45,46.29,30.35,3.81,50.81,49.19,20.88,84.68,51.382775
san benito abad,25248,25684,26035,26336,26599,26835,27073,27306,27569,27834,28072,28673,29282,8,5,2,35,17,6,74,21,26,18,8,3,79,8.22,20.66,25.55,45.57,18.14,39.82,29.12,5.21,52.62,47.38,11.13,78.95,4.453518
san juan de betulia,12461,12499,12558,12667,12741,12816,12896,12978,13051,13163,13282,13535,13892,18,19,28,17,19,3,39,32,79,7,1,4,80,6.91,16.94,23.69,52.47,13.18,52.18,29.63,3.7,51.34,48.66,13.37,84.28,17.929648
san marcos,53109,53460,53818,54186,54476,54752,55038,55342,55664,56104,56613,57672,59254,145,126,93,181,41,103,140,199,407,92,40,52,242,8.57,20.93,24.86,45.64,13.84,43.09,28.69,5.66,49.91,50.09,8.26,81.44,25.539326000000003
san onofre,48549,49023,49493,49915,50339,50691,51012,51198,51168,50713,49875,49633,50423,1,8,9,8,8,7,50,40,64,16,6,5,127,9.07,22.71,24.83,43.39,17.33,38.8,25.13,6.76,51.02,48.98,18.57,73.42,10.834846
san pedro,17287,17456,17626,17775,17926,18040,18145,18246,18308,18375,18421,18590,18920,10,8,9,15,4,10,60,15,24,8,3,4,115,7.59,18.91,23.52,49.98,10.08,47.91,28.06,5.0,50.61,49.39,12.72,84.48,21.693694
san luis de since,30754,30882,31087,31326,31545,31686,31797,31797,31548,31097,30691,30773,31365,9,22,13,7,2,11,35,86,21,10,3,2,184,7.81,17.21,23.89,51.09,11.19,46.48,29.62,6.58,50.51,49.49,12.57,81.64,20.392683
sucre,24882,25419,25813,26192,26637,27224,27669,27976,28270,28597,28890,29552,30253,5,0,4,13,0,9,14,71,13,11,2,6,52,8.19,19.64,22.59,49.57,16.07,37.4,26.92,2.8,54.0,46.0,11.7,86.07,6.25045
santiago de tolu,29965,30295,30595,30869,31125,31353,31579,31784,31983,32198,32459,32922,33553,11,32,22,43,31,21,32,134,116,42,20,10,114,9.29,19.2,26.18,45.33,9.49,50.6,33.81,5.97,49.4,50.6,16.05,66.49,27.704319
tolu viejo,19745,19976,20208,20446,20740,21097,21371,21506,21489,21348,21180,21339,21850,18,7,20,34,20,18,44,83,87,15,5,12,244,7.91,18.87,25.05,48.16,10.52,50.09,33.9,3.43,51.0,49.0,22.07,77.8,18.746377
ibague,505035,503738,502794,502450,503439,505734,507360,509342,512706,517940,524123,529635,536087,1047,563,1828,6508,944,2354,5617,3101,5221,2230,606,600,5130,5.92,13.83,25.27,54.98,3.24,64.43,39.11,5.49,47.79,52.21,3.08,37.91,117.583739
alpujarra,5145,5138,5132,5118,5171,5208,5230,5193,5082,4875,4649,4544,4493,3,1,5,28,1,58,28,2,5,4,0,1,7,5.45,14.96,20.09,59.5,8.21,41.82,36.3,4.01,52.02,47.98,7.15,55.41,3.097252
alvarado,8997,8988,8978,8960,8948,8926,8905,8860,8810,8741,8691,8697,8710,47,30,38,42,14,30,173,112,106,63,43,67,252,6.45,16.48,21.92,55.15,11.16,40.78,36.22,2.91,50.77,49.23,11.34,64.86,6.954984
ambalema,7704,7688,7674,7669,7661,7658,7623,7521,7343,7074,6819,6657,6596,2,1,1,37,9,12,42,19,12,36,12,28,18,6.45,15.04,21.74,56.77,9.7,43.5,33.25,4.03,51.13,48.87,3.97,62.53,9.25523
anzoategui,10445,10686,10769,10768,10612,10360,10231,10206,10222,10233,10189,10217,10110,0,0,1,4,2,1,6,12,5,6,4,1,14,7.27,19.05,24.58,49.1,9.9,37.24,36.33,2.12,53.04,46.96,25.14,69.7,4.203327
armero,13343,13355,13355,13349,13376,13380,13382,13364,13318,13211,12968,12696,12335,5,3,19,108,12,52,210,164,88,36,46,25,269,5.86,15.32,21.24,57.58,8.92,48.57,36.04,3.47,50.67,49.33,5.81,68.76,10.272727
ataco,18651,18995,19117,19182,19190,19233,19237,19233,19283,19324,19256,19330,19195,12,7,5,22,35,34,76,26,15,23,29,25,243,8.92,20.69,24.49,45.89,10.16,32.72,29.98,3.72,52.49,47.51,42.28,66.2,4.733512
cajamarca,19649,19607,19582,19552,19549,19528,19387,19125,18778,18572,18445,18471,18443,1,1,3,52,9,6,9,18,18,12,3,0,7,7.35,16.62,25.18,50.85,7.15,44.45,40.97,3.33,51.78,48.22,26.23,75.78,6.39
carmen de apicala,8530,8499,8475,8475,8488,8514,8565,8658,8895,9309,9764,10117,10306,18,32,12,69,10,105,114,39,47,50,28,38,61,6.38,14.42,23.52,55.68,5.68,52.94,38.79,4.12,49.98,50.02,2.53,45.98,17.918032999999998
casabianca,7021,7033,7022,6976,6812,6551,6401,6378,6382,6367,6343,6373,6326,2,1,0,1,1,1,2,2,1,7,3,9,16,6.82,17.89,22.18,53.11,10.13,34.92,40.14,1.07,53.82,46.18,23.15,69.52,6.825758
chaparral,47903,48174,48417,48650,48890,49186,49345,49518,49744,49981,50098,50367,50565,312,80,246,179,105,228,544,407,172,78,53,92,824,7.81,18.96,24.55,48.68,8.71,42.53,36.27,3.84,50.7,49.3,20.71,64.1,6.915725
coello,8450,8385,8348,8321,8313,8251,8248,8248,8271,8256,8212,8248,8286,4,8,8,60,38,15,55,124,43,8,13,17,79,6.34,14.88,21.57,57.21,12.46,44.54,32.74,5.12,51.18,48.82,13.02,73.38,7.337142999999999
coyaima,27837,27786,27745,27695,27552,27278,26985,26576,25695,24436,23275,22813,22610,16,21,16,206,35,17,236,138,181,94,56,76,158,7.27,19.0,22.55,51.18,12.28,36.65,23.43,6.11,51.41,48.59,45.07,67.23,9.39006
cunday,8725,8739,8745,8738,8740,8728,8719,8718,8734,8757,8716,8745,8518,2,8,7,7,1,17,34,5,5,16,7,23,93,6.2,17.47,18.29,58.04,9.95,39.6,36.99,4.15,52.55,47.45,20.21,63.88,5.407336
dolores,7814,8138,8279,8309,8329,8355,8355,8369,8367,8360,8335,8359,8250,1,0,3,115,6,7,49,4,5,1,0,0,3,6.02,16.48,20.65,56.85,7.77,40.87,36.6,6.32,52.31,47.69,18.53,82.59,4.61756
espinal,75823,75203,74502,73731,73034,72447,71860,71280,70881,70635,70417,70494,70769,61,141,192,642,296,562,1032,1333,705,230,280,421,1822,6.14,14.27,24.11,55.48,5.55,57.03,36.91,4.62,49.28,50.72,9.44,58.25,98.271889
falan,7927,7922,7918,7920,7917,7926,7919,7922,7913,7885,7783,7693,7494,2,29,22,36,25,13,40,16,88,32,3,18,66,6.0,16.82,20.49,56.68,10.28,39.19,40.26,1.66,52.1,47.9,15.17,66.82,9.134454
flandes,28313,28264,28223,28214,28268,28339,28375,28386,28363,28318,28317,28389,28510,0,7,0,0,0,146,362,157,75,36,44,172,254,6.57,15.33,23.11,54.99,4.69,59.08,38.58,4.2,49.29,50.71,3.28,36.76,92.231579
fresno,30568,30557,30606,30680,30754,30879,30950,30980,31016,31036,30979,31069,31124,5,1,12,316,5,30,48,55,50,41,58,46,238,6.39,16.91,22.93,53.78,7.99,42.71,40.95,1.68,51.43,48.57,27.32,81.28,47.139423
guamo,34637,34589,34536,34495,34501,34493,34434,34221,33890,33417,33013,32940,32826,22,91,66,187,55,136,636,256,198,135,139,257,721,6.21,15.19,21.11,57.5,8.01,47.27,32.28,5.21,49.59,50.41,25.16,71.75,18.611408
herveo,8924,8913,8894,8891,8883,8834,8777,8649,8393,7987,7555,7363,7266,0,0,0,2,0,0,0,2,0,1,2,0,0,5.7,17.31,21.86,55.14,9.06,37.14,23.51,1.13,51.93,48.07,31.29,60.01,6.140351
honda,27314,27247,27184,27158,27173,27268,27221,27038,26637,25994,25245,24693,24585,12,77,162,190,64,61,348,149,86,69,68,53,244,5.74,13.44,21.92,58.9,6.43,55.35,33.05,6.95,49.05,50.95,3.15,62.72,25.304207
icononzo,10310,10357,10487,10653,10900,11184,11423,11598,11722,11819,11814,11887,11891,5,7,29,43,3,1,15,5,45,70,5,4,31,6.6,15.63,20.72,57.04,8.01,44.93,36.99,3.35,51.99,48.01,22.41,67.55,15.301723999999998
lerida,18778,18730,18700,18635,18626,18656,18652,18608,18583,18579,18538,18574,18598,8,8,118,145,23,117,258,225,252,135,254,244,310,6.22,15.63,22.38,55.77,8.01,49.92,35.28,5.58,49.05,50.95,5.71,69.63,20.217082
libano,42157,42045,41975,41915,41928,41926,41710,41220,40261,38959,37592,36773,36432,15,9,43,322,37,39,255,68,479,895,192,96,190,5.84,15.85,20.95,57.35,8.02,48.73,39.08,2.78,49.43,50.57,15.37,66.25,40.328571
san sebastian de mariquita,33074,33011,32974,33136,34015,35864,36880,37115,37213,37328,37471,37770,38084,57,30,103,185,95,231,285,188,175,244,202,168,718,6.3,15.82,22.53,55.35,6.5,52.42,37.59,3.68,48.93,51.07,10.84,62.42,30.343008
melgar,33251,33154,33105,33068,33131,33264,33373,33546,33930,34648,35643,36536,37191,62,356,365,485,103,222,587,660,387,444,213,225,329,6.71,16.17,25.0,52.13,3.98,58.6,40.28,4.74,50.71,49.29,4.14,42.06,61.893023
